video,roi_family,base_name,full_name,pixel_mean,post_clean_gr_var,best_bpm,best_snr,best_method,peak_dist_from_100,apply_ab
6,single,throat_exposed,throat_exposed_single,1936.0,112.11,211.5,19.68,green,111.5,True
6,single,right_ear_base,right_ear_base_single,1024.0,86.55,185.7,40.58,green,85.7,True
6,single,left_ear_base,left_ear_base_single,1024.0,91.45,214.5,38.85,green,114.5,True
6,single,muzzle_skin,muzzle_skin_single,676.0,154.34,122.5,69.03,green,22.5,True
6,single,nose_bridge,nose_bridge_single,1296.0,96.61,117.8,68.07,green,17.8,True
6,multi,throat_area,throat_area_multi,2896.0,121.99,176.4,25.18,green,76.4,True
6,multi,ear_area_right,ear_area_right_multi,1476.0,156.79,113.7,25.83,green,13.7,True
6,multi,ear_area_left,ear_area_left_multi,1476.0,85.22,200.4,17.08,green,100.4,True
6,multi,muzzle_area,muzzle_area_multi,976.0,207.72,106.1,54.72,green,6.1,True
3,single,throat_exposed,throat_exposed_single,1906.1,268.8,204.5,14.53,green,104.5,True
3,single,right_ear_base,right_ear_base_single,1008.0,774.21,171.7,22.69,green,71.7,True
3,single,left_ear_base,left_ear_base_single,1007.9,636.34,203.9,13.52,green,103.9,True
3,single,muzzle_skin,muzzle_skin_single,665.4,444.87,198.6,9.45,green,98.6,True
3,single,nose_bridge,nose_bridge_single,1275.9,378.54,87.3,10.62,pca,12.7,True
3,multi,throat_area,throat_area_multi,2851.1,248.95,177.5,14.96,green,77.5,True
3,multi,ear_area_right,ear_area_right_multi,1452.8,483.82,150.0,59.67,green,50.0,True
3,multi,ear_area_left,ear_area_left_multi,1452.2,556.57,140.6,32.98,green,40.6,True
3,multi,muzzle_area,muzzle_area_multi,960.5,520.2,209.8,14.48,green,109.8,True
7,single,throat_exposed,throat_exposed_single,1652.0,680.41,143.6,22.18,green,43.6,True
7,single,right_ear_base,right_ear_base_single,872.2,1448.7,143.6,18.94,pos,43.6,True
7,single,left_ear_base,left_ear_base_single,872.2,1446.93,145.3,42.06,green,45.3,True
7,single,muzzle_skin,muzzle_skin_single,574.9,601.12,96.1,12.34,pca,3.9,True
7,single,nose_bridge,nose_bridge_single,1104.7,522.23,171.1,34.6,green,71.1,True
7,multi,throat_area,throat_area_multi,2469.3,746.4,207.4,14.06,green,107.4,True
7,multi,ear_area_right,ear_area_right_multi,1255.8,844.72,143.0,16.05,pca,43.0,True
7,multi,ear_area_left,ear_area_left_multi,1255.8,1411.14,128.9,22.03,green,28.9,True
7,multi,muzzle_area,muzzle_area_multi,828.9,572.28,102.5,56.95,green,2.5,True
