roi,variant,start,old_bpm,old_err,old_snr,new_bpm,new_err,new_snr,prior_bpm,prior_err
ear_area_right,multi,10,141.8,47.7,7.58,146.5,43.0,6.17,178.7,10.8
ear_area_right,multi,25,142.4,47.1,7.99,147.1,42.4,6.94,179.3,10.2
ear_area_right,multi,40,142.4,47.1,5.81,147.1,42.4,7.42,179.3,10.2
ear_area_right,multi,55,198.0,8.5,4.77,127.7,61.8,6.9,179.3,10.2
ear_area_right,multi,70,197.5,8.0,4.17,128.3,61.2,6.42,179.3,10.2
ear_area_right,multi,85,196.9,7.4,4.0,128.3,61.2,6.11,167.6,21.9
muzzle_area,multi,10,95.5,94.0,8.97,126.0,63.5,9.78,210.4,20.9
muzzle_area,multi,25,94.9,94.6,5.8,126.0,63.5,12.6,209.8,20.3
muzzle_area,multi,40,84.4,105.1,5.53,126.0,63.5,11.33,201.0,11.5
muzzle_area,multi,55,83.8,105.7,7.35,125.4,64.1,10.66,200.4,10.9
muzzle_area,multi,70,83.8,105.7,7.78,124.8,64.7,11.12,189.3,0.2
muzzle_area,multi,85,84.4,105.1,7.84,113.7,75.8,16.79,189.3,0.2
throat_exposed,single,10,93.8,95.8,6.08,135.9,53.6,7.85,188.7,0.8
throat_exposed,single,25,120.7,68.8,5.25,134.2,55.3,7.65,188.7,0.8
throat_exposed,single,40,120.7,68.8,5.92,133.0,56.5,6.9,188.1,1.4
throat_exposed,single,55,120.7,68.8,6.42,131.8,57.7,6.42,172.9,16.6
throat_exposed,single,70,212.1,22.6,6.39,131.2,58.2,5.71,172.3,17.2
throat_exposed,single,85,212.1,22.6,7.19,155.9,33.6,5.63,155.9,33.6
nose_bridge,single,10,94.9,94.6,14.8,126.6,62.9,14.85,211.5,22.0
nose_bridge,single,25,94.3,95.2,11.05,126.6,62.9,15.38,210.9,21.4
nose_bridge,single,40,168.8,20.8,9.06,126.6,62.9,13.55,201.0,11.5
nose_bridge,single,55,168.2,21.3,10.65,125.4,64.1,11.04,201.0,11.5
nose_bridge,single,70,168.2,21.3,11.11,112.5,77.0,10.26,200.4,10.9
nose_bridge,single,85,83.8,105.7,8.75,113.1,76.4,14.35,200.4,10.9
